Name,Author,Language,Type,Topic,Date (updated),Description,Dependencies,Link,Reference
PyTorch,Facebook,Python,Library,"Machine learning, deep learning",2020,"ML library, with support for tensor computing and deep neural networks.",,https://pytorch.org,
Keras,Keras Team,Python,Library,Deep learning,2020,"High-level abstractions for running neural networks in TensorFlow, R",,https://keras.io,
TensorFlow,Google,"Python, C++, CUDA",Library,"Machine learning, deep learning",2020,"""TensorFlow is an end-to-end open source platform for machine learning. It has a comprehensive, flexible ecosystem of tools, libraries and community resources that lets researchers push the state-of-the-art in ML and developers easily build and deploy ML powered applications."" Includes support for tensor computing and deep neural networks.",,https://www.tensorflow.org,
Pandas,Pandas (community),Python,Library (Python),Data mining,2020,"DataFrames allow data manipulation for reading, writing, transforming data.",,https://pandas.pydata.org,
Orange,University of Ljubljana,Python,Software,"Data mining, data visualization, machine learning",2020,Visual programming software for data analysis.,,https://orange.biolab.si,
Anaconda,"Anaconda, Inc.",Python,Environment,Data mining,2019,"Free and open-source distribution of the Python and R programming languages for scientific computing, with simplified package management and deployment.",,https://www.anaconda.com,
Deep Reinforcement Learning Algorithms with PyTorch,"Christodoulou, P.",Python,Implementation (algorithms),"Deep learning, reinforcement learning",2020,"""This repository contains PyTorch implementations of deep reinforcement learning algorithms and environments.""",PyTorch,https://github.com/p-christ/Deep-Reinforcement-Learning-Algorithms-with-PyTorch,
YOLO: Real-Time Object Detection,"Redmon, J.",,Implementation (object detection),"Deep learning, computer vision",2018,One of the best and fastest real-time object detection implementations,,https://pjreddie.com/darknet/yolo/,https://pjreddie.com/media/files/papers/YOLOv3.pdf
Colaboratory,Google,Python,Environment,Programming,2020,Python notebook environment,,https://colab.research.google.com,
ONNX,"Facebook, Microsoft",,Standard,Machine learning,2020,"""ONNX is an open format built to represent machine learning models. ONNX defines a common set of operators - the building blocks of machine learning and deep learning models - and a common file format to enable AI developers to use models with a variety of frameworks, tools, runtimes, and compilers."" It allows for interoperability between ML frameworks.",,https://onnx.ai,
CNTK,Microsoft,C++,Framework,Deep learning,Deprecated (2019),Integrated in ONNX,,https://docs.microsoft.com/en-us/cognitive-toolkit/,
Caffe2,"University of California, Berkeley",C++,Framework,Deep learning,Deprecated (2017),Integrated in PyTorch,,https://caffe2.ai,
Seaborn,New York University,Python,Library,Data visualization,2020,"""Seaborn is a Python data visualization library based on matplotlib. It provides a high-level interface for drawing attractive and informative statistical graphics.""",,https://seaborn.pydata.org,
PyTorch Hub,Facebook,Python,Repository,Model (collection),2020,Repository for pre-trained machine learning models.,,https://pytorch.org/hub/,
scikit-learn,scikit-learn (community),Python,Library,Machine learning,2019,"ML library for most algorithms, with the exception of deep learning algorithms.",,https://scikit-learn.org,
spaCy,Explosion AI,Python,Library,Natural language processing,2020,Advanced natural language processing focusing on providing software for production usage.,,https://spacy.io,
Unity Machine Learning Agents Toolkit,Unity Technologies,"Python, C#",Plugin,"Deep learning, reinforcement learning",2020,Reinforcement learning and evolutionary algorithms for agent-based simulation in virtual environments.,Unity,https://unity3d.com/machine-learning,
KNIME,KNIME (community),Java,Software,"Data mining, machine learning",2020,Visual programming software for data analysis.,,https://www.knime.com,
PyTorch Lightning,PyTorch Lightning (community),Python,Library (wrapper),Deep learning,2020,Wrapper for PyTorch; automates boilerplate code.,PyTorch,https://pytorch-lightning.readthedocs.io,
Tune,Ray (community),Python,Library,Hyperparameter tuning,2020,Hyperparameter tuning for various ML frameworks,,https://ray.readthedocs.io/en/latest/tune.html,
Flambé,ASAPP Research,Python,Framework,Machine learning,2020,Framework for machine learning pipelines,PyTorch,https://flambe.ai,
Machinable,Machinable (community),Python,Framework,Machine learning,2020,Framework for machine learning pipelines,,https://machinable.org,
Onepanel,"Onepanel, Inc.",Go,Platform,Computer vision,2020,Platform for computervision pipelines (from labelling to training),,https://onepanel.ai,
PyOD,"Zhao, Yu",Python,Library,Outlier detection,2020,PyOD is a comprehensive and scalable Python toolkit for detecting outlying objects in multivariate data. This exciting yet challenging field is commonly referred as Outlier Detection or Anomaly Detection.,,https://pyod.readthedocs.io,
OpenRefine,Google,Java,Tool,Data wrangling,2020,OpenRefine (previously Google Refine) is a powerful tool for working with messy data: cleaning it; transforming it from one format into another; and extending it with web services and external data.,,https://openrefine.org,
Omega ML,,Python,Framework,Machine learning,2021,"omega|ml is the innovative Python-native DataOps and MLOps platform that provides a ready-to-use data science workbench, development and runtime environment. Works from laptop to cloud.",,https://www.omegaml.io,
Kedro,,Python,Framework,Data science,2021,"Kedro is an open-source Python framework for creating reproducible, maintainable and modular data science code. It borrows concepts from software engineering and applies them to machine-learning code; applied concepts include modularity, separation of concerns and versioning.",,https://kedro.readthedocs.io,
